plate	pool	well	sample
A	1	1	P1S1
A	1	2	P1S2
A	1	3	P1S3
A	1	4	P1S4
A	1	5	P1S5
A	1	6	P1S6
A	1	7	P1S7
A	1	8	P1S8
A	1	9	P1S9
A	1	10	P1S10
A	1	11	P1S11
A	1	12	P1S12
A	2	1	P2S1
A	2	2	P2S2
A	2	3	P2S3
A	2	4	P2S4
A	2	5	P2S5
A	2	6	P2S6
A	2	7	P2S7
A	2	8	P2S8
A	2	9	P2S9
A	2	10	P2S10
A	2	11	P2S11
A	2	12	P2S12
A	3	1	P3S1
A	3	2	P3S2
A	3	3	P3S3
A	3	4	P3S4
A	3	5	P3S5
A	3	6	P3S6
A	3	7	P3S7
A	3	8	P3S8
A	3	9	P3S9
A	3	10	P3S10
A	3	11	P3S11
A	3	12	P3S12
A	4	1	P4S1
A	4	2	P4S2
A	4	3	P4S3
A	4	4	P4S4
A	4	5	P4S5
A	4	6	P4S6
A	4	7	P4S7
A	4	8	P4S8
A	4	9	P4S9
A	4	10	P4S10
A	4	11	P4S11
A	4	12	P4S12
A	5	1	P5S1
A	5	2	P5S2
A	5	3	P5S3
A	5	4	P5S4
A	5	5	P5S5
A	5	6	P5S6
A	5	7	P5S7
A	5	8	P5S8
A	5	9	P5S9
A	5	10	P5S10
A	5	11	P5S11
A	5	12	P5S12
A	6	1	P6S1
A	6	2	P6S2
A	6	3	P6S3
A	6	4	P6S4
A	6	5	P6S5
A	6	6	P6S6
A	6	7	P6S7
A	6	8	P6S8
A	6	9	P6S9
A	6	10	P6S10
A	6	11	P6S11
A	6	12	P6S12
A	7	1	P7S1
A	7	2	P7S2
A	7	3	P7S3
A	7	4	P7S4
A	7	5	P7S5
A	7	6	P7S6
A	7	7	P7S7
A	7	8	P7S8
A	7	9	P7S9
A	7	10	P7S10
A	7	11	P7S11
A	7	12	P7S12
A	8	1	P8S1
A	8	2	P8S2
A	8	3	P8S3
A	8	4	P8S4
A	8	5	P8S5
A	8	6	P8S6
A	8	7	P8S7
A	8	8	P8S8
A	8	9	P8S9
A	8	10	P8S10
A	8	11	P8S11
A	8	12	P8S12
